02/11/2022 20:03:30.634606 ./pingserver:     Creating C150NastyDgmSocket(nastiness=3)
02/11/2022 20:03:30.638662 ./pingserver:     Ready to accept messages
02/11/2022 20:03:38.101956 ./pingserver:     C150DgmSocket::read: successful read with len=4 |One.|
02/11/2022 20:03:38.101979 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |One.|
02/11/2022 20:03:38.101999 ./pingserver:     Successfully read 4 bytes. Message="One"
02/11/2022 20:03:38.102026 ./pingserver:     Responding with message="You said One. Don't you know how to play ping pong?"
02/11/2022 20:03:38.102052 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 20:03:38.102119 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 20:03:39.682987 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 20:03:39.683009 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 4 |Two.|
02/11/2022 20:03:42.682714 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 20:03:42.682736 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |Two.|
02/11/2022 20:03:42.682757 ./pingserver:     Successfully read 4 bytes. Message="Two"
02/11/2022 20:03:42.682778 ./pingserver:     Responding with message="You said Two. Don't you know how to play ping pong?"
02/11/2022 20:03:42.682805 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:03:42.682862 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:03:44.955657 ./pingserver:     C150DgmSocket::read: successful read with len=6 |Three.|
02/11/2022 20:03:44.955679 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 6 |Three.|
02/11/2022 20:03:44.955699 ./pingserver:     Successfully read 6 bytes. Message="Three"
02/11/2022 20:03:44.955721 ./pingserver:     Responding with message="You said Three. Don't you know how to play ping pong?"
02/11/2022 20:03:44.955747 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=54 |You said Three. Don't you know how to play ping pong?.|
02/11/2022 20:03:44.955810 ./pingserver:     C150DgmSocket::write: Success writing packet with len=54 |You said Three. Don't you know how to play ping pong?.|
02/11/2022 20:03:46.382078 ./pingserver:     C150DgmSocket::read: successful read with len=5 |Four.|
02/11/2022 20:03:46.382110 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 5 |Four.|
02/11/2022 20:03:49.381753 ./pingserver:     C150DgmSocket::read: successful read with len=5 |Four.|
02/11/2022 20:03:49.381775 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 5 |Four.|
02/11/2022 20:03:49.381795 ./pingserver:     Successfully read 5 bytes. Message="Four"
02/11/2022 20:03:49.381816 ./pingserver:     Responding with message="You said Four. Don't you know how to play ping pong?"
02/11/2022 20:03:49.381843 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=53 |You said Four. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.381925 ./pingserver:     C150DgmSocket::write: Success writing packet with len=53 |You said Four. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.381947 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=5 |Four.|
02/11/2022 20:03:49.381967 ./pingserver:     Successfully read 5 bytes. Message="Four"
02/11/2022 20:03:49.381986 ./pingserver:     Responding with message="You said Four. Don't you know how to play ping pong?"
02/11/2022 20:03:49.382007 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=53 |You said Four. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.382035 ./pingserver:     C150DgmSocket::write: Success writing packet with len=53 |You said Four. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.382272 ./pingserver:     C150DgmSocket::read: successful read with len=5 |Five.|
02/11/2022 20:03:49.382292 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 5 |Five.|
02/11/2022 20:03:49.382311 ./pingserver:     Successfully read 5 bytes. Message="Five"
02/11/2022 20:03:49.382336 ./pingserver:     Responding with message="You said Five. Don't you know how to play ping pong?"
02/11/2022 20:03:49.382360 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=53 |You said Five. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.382390 ./pingserver:     C150DgmSocket::write: Success writing packet with len=53 |You said Five. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.382410 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=4 |Two.|
02/11/2022 20:03:49.382429 ./pingserver:     Successfully read 4 bytes. Message="Two"
02/11/2022 20:03:49.382449 ./pingserver:     Responding with message="You said Two. Don't you know how to play ping pong?"
02/11/2022 20:03:49.382469 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:03:49.382495 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:03:52.351585 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Six.|
02/11/2022 20:03:52.351607 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |Six.|
02/11/2022 20:03:52.351627 ./pingserver:     Successfully read 4 bytes. Message="Six"
02/11/2022 20:03:52.351649 ./pingserver:     Responding with message="You said Six. Don't you know how to play ping pong?"
02/11/2022 20:03:52.351676 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Six. Don't you know how to play ping pong?.|
02/11/2022 20:03:52.351739 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Six. Don't you know how to play ping pong?.|
