02/11/2022 20:05:34.180295 ./pingserver:     Creating C150NastyDgmSocket(nastiness=4)
02/11/2022 20:05:34.185540 ./pingserver:     Ready to accept messages
02/11/2022 20:05:42.792719 ./pingserver:     C150DgmSocket::read: successful read with len=4 |One.|
02/11/2022 20:05:42.792741 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 4 |One.|
02/11/2022 20:05:45.792703 ./pingserver:     C150DgmSocket::read: successful read with len=4 |One.|
02/11/2022 20:05:45.792724 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 4 |One.|
02/11/2022 20:05:48.792663 ./pingserver:     C150DgmSocket::read: successful read with len=4 |One.|
02/11/2022 20:05:48.792691 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |One.|
02/11/2022 20:05:48.792716 ./pingserver:     Successfully read 4 bytes. Message="One"
02/11/2022 20:05:48.792756 ./pingserver:     Responding with message="You said One. Don't you know how to play ping pong?"
02/11/2022 20:05:48.792789 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 20:05:48.792859 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said One. Don't you know how to play ping pong?.|
02/11/2022 20:05:51.339875 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 20:05:51.339907 ./pingserver:     C150NastyDgmSocket::read: DELAYING packet of length 4 |Two.|
02/11/2022 20:05:54.339618 ./pingserver:     C150DgmSocket::read: successful read with len=4 |Two.|
02/11/2022 20:05:54.339639 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 4 |Two.|
02/11/2022 20:05:54.339659 ./pingserver:     Successfully read 4 bytes. Message="Two"
02/11/2022 20:05:54.339680 ./pingserver:     Responding with message="You said Two. Don't you know how to play ping pong?"
02/11/2022 20:05:54.339706 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:05:54.339755 ./pingserver:     C150DgmSocket::write: Success writing packet with len=52 |You said Two. Don't you know how to play ping pong?.|
02/11/2022 20:05:57.091901 ./pingserver:     C150DgmSocket::read: successful read with len=6 |Three.|
02/11/2022 20:05:57.091923 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 6 |Three.|
02/11/2022 20:05:57.091943 ./pingserver:     Successfully read 6 bytes. Message="Three"
02/11/2022 20:05:57.091964 ./pingserver:     Responding with message="You said Three. Don't you know how to play ping pong?"
